Id,Name,Cardtype,Skilltype,Cardrare,Cardlevel,ManaCast,Attack,AtkAdd,AtkAddRnd,AtkRdc,AtkRdcRnd,Block,BlcAdd,BlcAddRnd,BlcRdc,BlcRdcRnd,Wounded,WndRnd,Poison,PsnRnd,MaxCounter,CardTarget
50001,打击,Attack,Single,LvC,LvB,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,Enemy
50002,防御,Skill,Single,LvC,LvB,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,Player
50003,痛击,Attack,Single,LvC,LvB,2,8,0,0,0,0,0,0,0,0,0,0.5,3,0,0,3,Enemy
50004,交锋,Attack,Single,LvC,LvB,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Enemy
50005,全身撞击,Attack,Single,LvC,LvB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Enemy
50006,活动肌肉,Skill,Single,LvC,LvB,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,Player
50007,耸肩无视,Skill,Single,LvC,LvB,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,2,Player
50008,金刚臂,Attack,Single,LvC,LvB,2,12,0,0,0.25,3,0,0,0,0,0,0,0,0,0,2,Enemy
50009,顺劈斩,Attack,All,LvC,LvB,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Enemy
50010,回旋镖,Attack,Multi,LvC,LvB,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Enemy
50011,双重打击,Attack,Single,LvC,LvB,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Enemy
50012,铁斩波,Attack,Single,LvC,LvB,1,5,0,0,0,0,5,0,0,0,0,0,0,0,0,2,Enemy
50013,剑柄打击,Attack,Single,LvC,LvB,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Enemy
